Query,kb_label,Language,category_cod
quiero un acceso a la carpeta compartidos,OneDrive,es,14
como acceder al centro de software,Software Center,es,23
      qué hacer si el correo electrónico de mi teléfono no funciona   ,Correo Electrónico | Email,es,5
        necesito saber como pedir ampliacion de datos en el movil             por unity     ,Móvil / Mobile,es,11
el registro de jornada no funciona  ni en explorer ni en chorme  ni en el movil,SAP Fiori & Registro de Jornada,es,19
necesito instalar sep y hub en el móvil,UNITY,es,25
hola tengo un problema con mi usuario y contraseña  soy empleado eventual y mi anterior usuario  es el que usaba siempre,Contraseña  | Password,es,4
como puedo solicitar el   ,Office,es,13
ampliar datos en el movil,Móvil / Mobile,es,11
no  en mi smartfhone no puedo acceder a workday despúes de cambiar la contraseña ,Contraseña  | Password,es,4
instalar acrobat pro ,Adobe Acrobat,es,0
configurar sap fiori en el movil,SAP Fiori & Registro de Jornada,es,19
mi usuario esta bloqueado en sap,SAP,es,18
     no puedo cambiar la contraseña del correo electrónico pues me lleva a una página que ya no está disponible   ,Contraseña  | Password,es,4
no funcionan las menciones en outlook,Correo Electrónico | Email,es,5
bloqueo cuenta  me ha bloqueado la cuenta y al tener que entrar por vpn no me deja desbloquearla ,Contraseña  | Password,es,4
quiero crear una peticion al mar,UNITY,es,25
caducidad de  contraseña,Contraseña  | Password,es,4
como puede instalar el mail corporativo en mi dispositivo ios,Correo Electrónico | Email,es,5
como istalo sep mobile en el movil,SEP Mobile,es,20
buenos días  quiero instalar el software de autofirma para realizar trámites con la administración  a título personal  puedo hacerlo  me solicita permisos de administrador,Botón Admin / Admin button,es,2
       gil cuesta  juan antonio   necesito tener licencia de power bi pro      ,PowerBI,es,16
equipo bloqueado  no acceso a vpn  equipo bloqueado después de descarga de actualización,VPN,es,26
tengo bloqueada la cuenta  ,Contraseña  | Password,es,4
necesito una ampliación de datos  por favor  ampliación de datos mobiles,Móvil / Mobile,es,11
 me podéis decir como debo configurar un buzón de outlook adicional al mio personal ,Correo Electrónico | Email,es,5
 hay hoy incidencias con la aplicación citrix ,CITRIX,es,3
necesito crear peticion para tener acesso a un diretorio  como puedo hacer ,UNITY,es,25
necestio un ordenador de prestamo,Equipamiento TI | IT Equipment,es,6
tengo bloqueada la cuenta,Contraseña  | Password,es,4
dar de alta nuevo usuario en unity,UNITY,es,25
si olvido mi contraseña  la puedo recuperar aquí  ,Contraseña  | Password,es,4
buenos dias       hace aproximadamente  mes cambié mi contraseña en la computadora  luego me pidió que actualizara la contraseña en el teléfono móvil de la empresa  al intentar mostrar una imagen diciendo que no me permite hacer ese cambio  por eso no tengo correo electrónico en el móvil de la empresa  pido ayuda para recuperar la situación  gracias  ,Contraseña  | Password,es,4
instalar aplicación adobe acrobat pro,Adobe Acrobat,es,0
por que no tengo acceso al sap ahora si antes lo tenía en la pc  ,SAP,es,18
      existe microsoft teams para tablet android   ,Teams,es,24
       agudo fernandez  maria teresa       d como usar repsol admin control          ,Botón Admin / Admin button,es,2
tengo la aplicacion onguard pero me da error con mi usuario,PingID,es,15
tengo problemas con ping id,PingID,es,15
buenos días  el micrófono de mi portatil no funciona  me oyen bajo y con eco    lo podéis resolver ,Equipamiento TI | IT Equipment,es,6
     la solicitud de accesos a departamentales o buzones se solicta como antes por email o se hace a través de unity   ,RIC | SIR (Departamental | Network Fold),es,17
no se me actualiza el correo,Correo Electrónico | Email,es,5
     solicitar buzón correo compartido  ,Correo Electrónico | Email,es,5
