Query,kb_label,Language,category_cod
como acceder a firma digital ,Firma Digital | Digital Signature,es,7
aplicación outlook aparece desconectada  ,Correo Electrónico | Email,es,5
     agregar usuarios a un buzón compartid  ,Correo Electrónico | Email,es,5
como sincronizar movil al cambiar contraseña  ,Contraseña  | Password,es,4
necesito ayuda para la instalación del button admin,Botón Admin / Admin button,es,2
cambiar el móvil asociado al pingid,PingID,es,15
teams no me funciona,Teams,es,24
         necesito instalar el ping id en mi móvil     ,PingID,es,15
tengo una incidencia abierta sin resolver y me ocasiona que mi telefono movil corporativo no funcione,Móvil / Mobile,es,11
                   no me sincroniza el correo electrónico en outlook                  ,Correo Electrónico | Email,es,5
necesito manual de descarga de pin id,PingID,es,15
me da error al intentar instalar la aplicación whiteboard desde el centro de software,Software Center,es,23
 quiero añadir una nueva impresora de red ,Equipamiento TI | IT Equipment,es,6
      como puedo cambiar el navegador predeterminado   ,Internet Navegadores | Browsers,es,8
migracion windows ,Windows SO | OS,es,29
necesito ampliar mi limite de datos en el móvil,Móvil / Mobile,es,11
instalacion adobe,Adobe Acrobat,es,0
  por favor incluir en la lista de distribución   personaloriente repsol com y personalquito repsol com       a sanchez herrera  raquel susana  ,Correo Electrónico | Email,es,5
necesitaría tener permisos de administrador en mi equipo,Botón Admin / Admin button,es,2
     me aparece un cuadro de diálogo en office que me dice que tengo productos incompatibles instalados en el equipo  ,Sharepoint,es,21
configurar impresora,Equipamiento TI | IT Equipment,es,6
cual es el telefono de la mar desde fuera de repsol,MyMAR,es,10
necesito pedir un teléfono móvil nuevo  que debo hacer ,Móvil / Mobile,es,11
tengo problema con mi correo  no se actualiza  no envía ni recibe los correos  y me solicita mi contraseña a cada momento la coloco y vuelve a solicitarme,Correo Electrónico | Email,es,5
no puedo acceder a portafirmas,Firma Digital | Digital Signature,es,7
necesito que me instalen el acrobat pro ,Adobe Acrobat,es,0
estoy intentando conectarme por la vpn y me dice que mi usuario está bloqueado,VPN,es,26
querría abrir una petición para accesos a una máquina virtual  pero me han dicho que es a través de ritm,CITRIX,es,3
buenos días  el outlook aparece desconectado  ya reinicié y no se conecta,Correo Electrónico | Email,es,5
hello  i have been asked to contact mar directly regarding access to sap   i have permissions and should have access but i cannot find or access the application ,SAP,es,18
quisiera pedir un portátil a una becaria,Equipamiento TI | IT Equipment,es,6
el ordenador me pide las credenciales cuando accedo al departamental ,Contraseña  | Password,es,4
     la solicitud de accesos a departamentales o buzones se solicta como antes por email o se hace a través de unity   ,News,es,12
como desbloquear cuenta  ,Contraseña  | Password,es,4
tengo el perfil de datos en mi móvil restringido   cómo puedo quitarlo ,UNITY,es,25
 como acceder a servicenow ,UNITY,es,25
no me vale  tecnico  por favor  queiro escalar una reclamación,UNITY,es,25
tengo el usuario bloqueado en sap,SAP,es,18
una consulta tengo un equipo celular atex que no tiene acceso a internet,WiFi,es,28
buenos días  me iba a caducar la contraseña y ya la he cambiado en vpn,VPN,es,26
necesito configurar el correo en mi telefono,Correo Electrónico | Email,es,5
no puedo trabajar con outlook  la aplicación lms está en mantenimiento y al acceder me da logon failed,Correo Electrónico | Email,es,5
  ola   quiero hablar con un técnico           quién es el responsable desde gestión de identidades de   ,UNITY,es,25
no tengo acceso al acrobat ,Adobe Acrobat,es,0
buenos días   cómo puedo envíar a un proveedor un fichero que pesa mucho ,OneDrive,es,14
  buenos días  necesito hablar con alguien porque no me puedo conectar a la vpn y la incidencia que había abierto haces unos días    ha sido cerrada de forma permanente porque  ya resuelta   sin embargo  yo no veo como se pueda considerar como ya resuelta porque llevo un mes sin poderme conectar a la vpn  gracias ,VPN,es,26
comprei um telemovel e queria ter o email no telefone,Correo Electrónico | Email,es,5
problema con el cambio de contraseña  he cambiado la contraseña en el acceso a vpn  pero al bloquear y desbloquear el equipo no me la reconoce ,VPN,es,26
como devolver mi ordenador ,Equipamiento TI | IT Equipment,es,6
cual es el telefono del mar   telefono de mesa ayuda repsol ,MyMAR,es,10
citrix externo,CITRIX,es,3
necesito descargarme la aplicación power bi en mi ordenador,PowerBI,es,16
no funciona el correo de empresa en mi movil ios,Correo Electrónico | Email,es,5
como puedo solucionar para poder activarlo y realizar permiso de trabajo ,UNITY,es,25
     para solicitar el alta de unos grupos de seguridad  puedo hacerlo por aquí  tengo que abriros una petición   ,UNITY,es,25
necesito apoyo para activar licencia de office ,Microsoft Aplicaciones | Apps,es,9
mi usuario sap de  mandante  está bloqueado   me pueden ayudar ,SAP,es,18
no me funciona la red  puedo hacer un autoclean ,Contraseña  | Password,es,4
no me sincroniza el correo electrónico en mi iphone desde hace  días   qué debo hacer ,Correo Electrónico | Email,es,5
wifi movil,WiFi,es,28
necesito cambiar de móvil,Móvil / Mobile,es,11
no puedo generar una incidencia por que mi cuenta esta bloqueada,Contraseña  | Password,es,4
he recibido un nuevo móvil y no puedo conectarlo,Móvil / Mobile,es,11
por favor  elias eliminar  allan  ext  allan elias servexternos repsolsinopec com en los grupos de correo electrónico a continuación  ya que ya no es necesario para que se quede en los grupos con el final de mis vacaciones ,Teams,es,24
como instalar sap fiori en el movil,SAP Fiori & Registro de Jornada,es,19
como debo instalar teams en el dispositivo movil,Teams,es,24
mi usuario está bloqueado,Contraseña  | Password,es,4
necesito desbloquear mi usuario sap,SAP,es,18
