sent1,sent2,is_duplicate
"Ist leider noch nicht bei mir angekommen. Lange Lieferzeit. Sollte am 1. Juni ankommen, leider bis jetzt noch nicht da","Sehr dünnes Material, gute Verarbeitung und modernes Design!",0
Die Matte löst sich nach nur 6 Monaten im Wasser auf. Sehr unangenehm. Ich würde vom Kauf dieser Matte abraten.,"Eigentlich kauft man sich eine Hülle um das Smartphone vor Kratzern zu schützen, diese Hülle bewirkt das Gegenteil. Sie zerkratzt das Display. Absolutes No-Go. Die Smart View Funktion ist auch nur nutzbar, wenn durchweg NFC eingeschaltet ist, was für mich aus Sicherheitsgründen nicht in Frage kommt. Also kurzum sehr teure Hülle, die das Display beschädigt und deren extra Funktionen nur mit durchgehender NFC Aktivierung nutzbar sind.",1
"Kann mich nur anschließen, dass der Service des Verkäufers eine Frechheit ist. Habe ein defektes Gerät moniert und musste mehrfach den Retourenschein anfordern. Wurde so lange herausgezögert, bis kein Garantieantrag mehr möglich war. Nach 2 Tagen erhielt ich ""kulanterweise"" angeblich neues Gerät zurück - in meiner Originalverpackung. Die Sichtung des vermeintlich neuen Players bestätigte dann auch direkt meine Vermutung: gleicher Defekt vorhanden, kleine Kennzeichnung am Gerät bewies, dass es sich um das reklamierte Altgerät handelte. Fazit: es wurde rein gar nichts vom Händler ausgetauscht, nur versucht, den Kunden zu täuschen. Durch die Hinhaltetaktik jetzt auch kein Regress über Amazon mehr möglich. Mein Rat: Finger weg von dem Händler!!!","Ich hab mich schon gewundert, dass eine Pumpe, welche angeblich 15000 l/h schafft so wenig kostet. Haben sie jetzt in Betrieb genommen und festgestellt, dass wir vielleicht über 1500 l/h reden können. Also meines erachtens absolut falsche Angabe in der Produktbeschreibung. Wir haben Pumpen, welche 7000 l/h schaffen, für ca. 800,- €.",1
Die Dinger halten nicht gut. Das verwendete doppelseitige Klebeband taugt nichts. Musste mir welches besorgen von 3M (für dauerhaft starke Verbindungen im innen und aussenbereich). Damit hat es dann gehalten.,"Case liegt gut in der Hand, allerdings schirmt es das Mikrofon sehr stark ab, sodass der gegenüber einen nur schwer verstehen kann und außerdem hält nach einem Monat die Klappe zum schließen der Ladebuchse nicht mehr, somit ist die wasserdichtheit der Hülle hinfällig.",1
"Gutes Trampolin. Macht meinen Kindern (3,5 und 1,5) viele Spaß. Wir nutzen es nicht als Bällebad. Wer Platz hat ist mit einem separaten Bällebad besser dran. Wir müssten sonst mehrmals am Tag umbauen.",Das Shirt fällt etwas breiter aus. Ansonsten bin ich sehr zufrieden. Der Stoff fühlt sich angenehm an. Mit der Lieferung hat es auch super geklappt.,1
Der Zapfhahn ist reiner Müll,Einfacher geht es nicht und Punkt,0
Mein Sohn ist sehr zufrieden mit diesem Produkt. Tolles Gerät,Die Strahler machen einen hochwertigen Eindruck und bisher ist noch keiner ausgefallen. Eine gute Wahl! Hoffentlich kann ich das in ein paar Jahren auch noch sagen.,1
"Habe das Produkt als Geschenk bestellt,daher konnte ich ihn auch nicht zurücksenden obwohl der Chip nicht dabei war... Nach einigen Wochen blätterte die Farbe ab.","Super Spy-PEN. Wir sind wirklich sehr zufrieden mit der Kamera. Die Bilder sind mehr als in Ordnung, wenn man bedenkt, wie klein die Kamera ist. Auch die Verbindung zur Auswertung funktioniert im Handumdrehen. Plug&Play und das kinderleicht. Preis / Leistung 1A. Nur der Akku könnte ein wenig länger halten.",0
Schlechte Qualität. Ganz schlechte Pressung der Teile mit abstehenden Stücken die einen verletzen können. Fiel nach 2 Tagen Anbringung ab und ein paar Ketten die daran hingen waren danach kaputt :-(,Habe die Ware nicht bekommen. Scheiss Laden,1
"War sehr zufrieden mit der Verpackung; sieht ansprechend aus, als Geschenk zu Weihnachten zu empfehlen, würde ich immer wieder weiterempfehlen.","Auch der dritte Seidenspender dieser Machart ist nach 2 Jahren defekt (Motor funktioniert nicht mehr). Es gibt 2 Sterne, da bisher der Austausch durch den Verkäufer perfekt verlief, jetzt habe ich aber keine Lust mehr, diesen noch einmal auszutauschen.",0
"Ich hätte den ,,Joint'' für die Mottowoche in der Schule gebraucht. Hatte diesen 5 Tage davor bestellt und es hieß das er pünktlich ein Tag davor ankommen sollte. Heute ist Sonntag und bisher wurde immer noch nichts geliefert...einfach nur schade und unnötig Geld ausgegeben...",Dieser Stift sieht nicht nur hübsch aus sondern schreibt auch noch echt gut. Ich werde ihn mir wohl noch in mehreren Farben zu legen.,0
"Ton hat ein komisches Rauschen und Verzerrten Hochton. Titelnamen werden nicht angezeigt. Steuerung über MMI funktioniert, ist aber unübersichtlich, da keine Titel angezeigt werden. Eingebaut im Audi Q5 8R mit MMI 3G High","Nach jahrelangen Nackenproblemen und zig Kissen, dieses Mal über Amazon....ich habe es nicht bereut. Ein tolles Kissen. Den Geruch empfand ich anfangs schon sehr störend, verfliegt aber binnen einer Woche. Auch das Waschen der Kissenhülle war kein Problem, es hat Waschen und Trockner überlebt. Kann es wirklich nur empfehlen.",0
"Wahrscheinlich leider kein Ultraschall . Keine Bewegung von Wasser auf dem Gerät . Nur Vibration und Licht . Schade, da es sehr handlich war. Ging zurück",Der Messschieber ist sehr unsauber verarbeitet. Grobe Bearbeitungsspuren. Kann nach meinem Dafürhalten nur 2. bzw. 3. Wahl sein. Für den sehr groben Gebrauch noch geeignet.,1
"Der E-Plan ist nicht gut, und sie Piepen bei jedem Baum,egal wo er steht.","Das Haarteil sieht super aus und ist einfach zu verwenden. Wenn man es mal eilig hat, kann man ganz einfach eine schöne Frisur zaubern. Ich habe schwarze Haare und das Haarteil fällt garnicht auf, dass es nicht meine eigene Haare sind. Wie es bei helleren Haaren aussieht kann ich leider nicht beurteilen.",1
"keine Gedanken mehr über tropfendes Grillgut oder Grillgut, dass aufgrund seiner Größe durch das Rost fallen könnte. Hiermit ist alles unter Kontrolle und das Grillgut wird gleichmäßig gegrillt .","Habe soeben meine 2. Flasche bestellt. Fühle mich nun nach 2 Wochen gesundheitlich besser und vitaler, kann ich nur empfehlen.",1
"Ich habe das ModMic v4 im April 2016 über amazon gekauft. Anfang 2018 ist leider das Kabel an dem Kontroller für das Mikrofon komplett durchgebrochen. Das Kabel ist an dieser Stelle nicht verstärkt, was bei längerer Nutzung wohl unweigerlich zu einem Bruch führen wird. Zu Qualität des Mikros wurde ja schon viel geschrieben, daher nur ganz kurz: Die Qualität des Mikrofons ist okay, mehr aber auch nicht. Ein Sennheiser PC350 ist von der Sprachqualität besser. Mal schauen ob es sich reparieren lässt. Für diesen Preis und nach nicht einmal zwei Jahren Nutzung jedoch nicht in Ordnung.",Nicht zu empfehlen!!! Verkratzt das Auto an den Seiten.,1
"Die Aufbewahrung mag gut sein, aber ich wollte sie doch hinter die Tür hängen UND die Tür schließen können. Ich würde sagen, ich habe völlig normale und genormte Türen, die Haken sind aber dennoch bei weitem zu dick, so dass allein das zu machen dazu führt, dass erstens die Tür nicht schließt und zweitens Dellen in das Holz der Tür und des Rahmens gedrückt werden. Verstehe nicht, dass sowas als Tür-Regal verkauft wird, wenn die Tür dann funktions-unfähig wird. Allerdings konnte ich mit 2 Zangen die Haken so biegen, dass es letztendlich passt. Einer ist dabei abgebrochen, die anderen reichen aber, um das Regal zu tragen.","Sieht toll aus. Mir war der Anzug (Gr.S) jedoch viel zu weit. Und trotz der Weite war wenig Bewegungsfreiheit im Schultergelenk geboten - also zum Schwimmen nicht gerade ideal. Derzeit wiege ich knapp 60kg und bin 1,75m groß.",0
"Ich habe den Koffer nur für eine Reise (Deutschland – Australien) verwendet. Ergebnis: Eine der Rollen ist abgebrochen. Der Reißverschluss innen ist kaputt. Klar, Koffer werden vom Flughafenpersonal nicht mit Samthandschuhen angefasst aber trotzdem: Man kann schon erwarten das ein Koffer etwas länger hält!",Die Wimpernzange hat eine gute Qualität und sie funktioniert klasse. In der Hand fühlt es sich gut an und die Wimpern lassen sich leicht und einfach nach oben formen.,0
