Query,kb_label,Language,category_cod
hola  no me consigo conectar a la vpn,VPN,es,26
hola necesito solicitar un back up de un disco departamental,RIC | SIR (Departamental | Network Fold),es,17
eliminar registro en pingid,PingID,es,15
que tipo de petición tengo que abrir al mar para agregar una dirección de correo a una lista de distribución ,Correo Electrónico | Email,es,5
recuperar arquivo de teams anterior al guardado,Teams,es,24
outlook no me actualiza,Correo Electrónico | Email,es,5
         necesito un duplicado de mi tarjeta       ,Móvil / Mobile,es,11
por favor   como pedir cita en el cau express  pedir cita en el cau express de campus en madrid,UNITY,es,25
tenemos un bloqueo de usuario de pda  por favor podría desbloquearlo  ,SAP,es,18
  necesitaría que se incluya en el centro de software el adobe acrobat pro dc  para el cual he pedido acceso para poder descargarmelo ,Adobe Acrobat,es,0
contraseña de red  se me ha bloqueado mi cuenta de red,Contraseña  | Password,es,4
no me deja cambiar mi contraseña,Contraseña  | Password,es,4
solicitar datos ilimitados movil,Móvil / Mobile,es,11
buenos dias tengo una duda con la solicitud de un segundo terminal de movil  para una semana  con quien podria hablar ,Móvil / Mobile,es,11
no  he cambiado la contraseña y no se actualiza el correo electrónico en mi movil,Contraseña  | Password,es,4
   es normal que mi petición tarde tanto en procesarse  id     ,UNITY,es,25
instalacion de oracle  nueva instalacion de oracle,Visio,es,27
 funciona la aplicación registro de jornada ,SAP Fiori & Registro de Jornada,es,19
centro de software,Software Center,es,23
como instalar correo repsol ,Correo Electrónico | Email,es,5
problema de firma en portafirmas  no puedo firmar,Firma Digital | Digital Signature,es,7
     buenos días  tenemos una petición de un ordenador portátil para un compañero que se incorpora mañana   dónde lo recogemos   ,Equipamiento TI | IT Equipment,es,6
me podéis enviar los pasos para configurar un nuevo teléfono ,Móvil / Mobile,es,11
agregar un correo en outlook ,Correo Electrónico | Email,es,5
la aplicacion ping id no vincula con mi equipo   me falta codigo qr,PingID,es,15
tengo la cuenta bloqueada,Contraseña  | Password,es,4
el movil no sincroniza el correo,Correo Electrónico | Email,es,5
cual es la url de sap fiori fichajes repsol,SAP Fiori & Registro de Jornada,es,19
     puedo pedir una ampliación de memoria de mi equipo   ,RIC | SIR (Departamental | Network Fold),es,17
hola  en el  solicité instalar power bi en mi computador  ingrese a la incidencia y dice completado  pero no la encuentro  como puedo saber si ha sido instalado ,PowerBI,es,16
necesito contraseña nueva para un empleado ,Contraseña  | Password,es,4
não consigo enviar receber mensagens no skype e o outlook abre e fecha,Correo Electrónico | Email,es,5
tenggo problemas con one drive  no se sincronizan los archivos,OneDrive,es,14
     buenos días  me han dicho que para poder usar el  files on demand  de onedrive debo actualizar la versión de windows  de mi portátil  la necesidad surge del poco espacio en disco al necesitar tener de forma accesile el mapa de los archivos de onedrive  ,Windows SO | OS,es,29
no funciona el skype  soy usuario nuevo y el skype no ingresa con mis credenciales,Skype,es,22
técnico por favor  ok  espero         morais neiva  aurelio filipe  ext    quería agregar a mi cuenta de correo eletrónico  la cuenta sinespostomedico repsol com           morais neiva  aurelio filipe  ext     pensé que ya tenía permiso           morais neiva  aurelio filipe  ext     cuando lo intenté dio error           morais neiva  aurelio filipe  ext     dijo que no tenia permiso      ,UNITY,es,25
 cómo pedir autorización par enviar correos desde un buzón de correo compartido ,Correo Electrónico | Email,es,5
quisiera informar que mi computador esta bloqueado por no haber  renovado el password a tiempo  me podrian ayudar ,Contraseña  | Password,es,4
en una videollamada  cómo cambiar el fondo ,Teams,es,24
pingid bloqueado ,PingID,es,15
necesito instalar virtual box y no soy administradora del equipo,Botón Admin / Admin button,es,2
no funciona el skype  soy usuario nuevo y el skype no ingresa con mis credenciales,News,es,12
necesito instalar el paquete de office   como lo puedo solicitar ,Microsoft Aplicaciones | Apps,es,9
no me carga el móvil  he puesto varios cargadores  y es como si el cable no hiciera conexión con el móvil,Móvil / Mobile,es,11
como solicitar la generacion de un dia de descanso,UNITY,es,25
no consigo instalar una aplicación a través de citrix,Adobe Acrobat,es,0
necesito de tener derechos de administrador para instalar un software,Botón Admin / Admin button,es,2
mi cuenta está bloqueada,Contraseña  | Password,es,4
     cómo puedo desbloquear el usuario de sap   ,SAP,es,18
cuales son los requisitos de cambio de contraseña ,Contraseña  | Password,es,4
solicitar asignación carpeta en citrix,CITRIX,es,3
dispositivo móvil no tiene conexión,Apps móviles | Mobile Apps,es,1
  instalar sep mobile  ,SEP Mobile,es,20
quiero pedir unos auriculares con microfono,Equipamiento TI | IT Equipment,es,6
 puedo descargar google chrome ,Internet Navegadores | Browsers,es,8
necesito instalar el paquete de office   como lo puedo solicitar ,Office,es,13
me ha caducado la contraseña durante el fin de semana  al conectarme a la vpn me ha recordado que había caducado y la he actualizado  el equipo funciona pero ahora me indica al cponectarme a la vpn que mi cuenta está bloqueada  temo haber hecho algo mal y que se me bloquee el ordenador al arrancarlo de nievo,VPN,es,26
mi contraseña ha expirado,Contraseña  | Password,es,4
i need assistance logging into sap  please ,SAP,es,18
activar office ,Microsoft Aplicaciones | Apps,es,9
necesito usuario y contraseña para el dni  ,Contraseña  | Password,es,4
 tienes ya acceso   adobe acrobat pro,Adobe Acrobat,es,0
la carpeta de mpilar estebanez servexternos repsol com en outlook no se está actualizando,Correo Electrónico | Email,es,5
       cuesta sanz  david   necesito usar el adobe acrobat que permite unir archivos      ,OneDrive,es,14
reseteo contraseña workaday,Contraseña  | Password,es,4
acceder a wifi corporativa,WiFi,es,28
como configurar o e mail em movil ,Correo Electrónico | Email,es,5
necesito hablar con un tecnico  necesito actualizar sistema operativo,UNITY,es,25
problema acceso vpn  no puedo acceder por vpn,VPN,es,26
      en el correo electronico al adjuntar un fichero y querer abrir el adjunto me aparece un error   ,Correo Electrónico | Email,es,5
pero necesito que se cierre la incidencia,UNITY,es,25
he instalado office   me pide iniciar sesion microsoft pero no inicia,Sharepoint,es,21
el teclado no funciona  con quién tendría que contactar ,MyMAR,es,10
consulta sobre sap  como poner las transaciones en sap,SAP,es,18
como obtener office  ,Office,es,13
necesito acceso a aplicación,CITRIX,es,3
conexion de vpn se desconecta ,VPN,es,26
outlook me aparece como desconectado  estoy trabajando desde la oficina  el wifi va bien y ya he reiniciado el ordenador,Correo Electrónico | Email,es,5
conectarse a internet en la oficina con movil coporativo,WiFi,es,28
         he recibido una llamada sospechosa de ser fraudulenta     ,Correo Electrónico | Email,es,5
     he olvidado mi contraseña  ,Contraseña  | Password,es,4
hay veces que ni siquiera me da opción a conectarme al moviestar,VPN,es,26
no puedo registra la jornada  no se abre la aplicación,SAP Fiori & Registro de Jornada,es,19
