sent1,sent2,is_duplicate
Produit introuvable dans les magasins de bricolage ( Même le plus renommés !) Livraison rapide ( environ 3 jours). Répond tout à fait à mon attente. Livraison en point relais ok.,emballage individuel très bon mais le colissage de plusieurs produits est à revoir,1
dès que je l'ai reçu il a plu l'apres midi. et bien lorsque que j'ai enlever la bache de protection je me suis aperçue que celle ci n'était pas imperméable car mes coussins etaient trempés!,acheté il y a 4 mois pour mettre sur une tombe et il s'avère qu'il y en a une qui n' éclaire presque plus et clignote suis pas sûr de étanchéité dommage car beau produit déçue,1
Acheter pour ma fille produit de bonne qualité,"Adapté pour le sony X compact, ne glisse pas (mais l'écran lui bien-sur n'est pas protéger )",1
je n'ai pas reçu le produit j'ai un livre à la place . un vendeur à éviter absolument,Remplacement ancien chargeur défectueux.,0
"Pas très satisfait de ces lames que je pensais être réversibles et qui ne rasent pas top. J'avais déjà eu la même marque en réversibles (très bon rasage) qui allaient très bien contrairement à celles là. Mais bon vu le prix et la quantité, je peux me permettre de les changer plus souvent ☺",Ça laisse des traces au ventre c'est horrible,1
"Cela fait déjà 1 mois que j'attends ces paillettes pour mon fils, ma livraison a était prévue pour juste 1 semaine et elle a durée 1 mois c'est inadmissible !!!",Bonjour. Le produit est arrivé cassé déjà dans la boîte !!!! Que dois je faire.,1
"Produit reçu une première fois, malheureusement non adapté au A3 2016. Réaction rapide du SAV avec un nouvel envoi. Produit parfait, qualité à voir à l'usage. Je recommande ce produit.",Jai acheté une pelote rose clair et pour le prix c'est ce que je cherchais une belle couleur avec un beau rendu final. Je l'ai utilisée en crochet beaucoup de fil qui s'efiloche donc pas facile à crocheter mais pour le prix j'en recommanderais certainement,1
Ça ne cole pas à l'évier... du coup ça ne sert à rien,J'utilise ce câble depuis déjà quelques mois et il tient très bien : les connecteurs sont conformes à la description et tiennent très bien. Je l'utilise en même temps qu'une rallonge et il est presque deux fois plus épais. les articles Ugreen arrivent toujours soigneusement emballés. Je les recommande,0
J’ai reçu le produit mais malheureusement il ne fonctionne pas ! J’ai été immédiatement remboursée par le vendeur.,"La couleur est sympa, par contre la coque a une odeur de poisson pourri qui est toujours présente après plusieurs semaines d'utilisation... Je ne recommande pas ce produit",1
"Ce deuxième tome est vraiment super, je l’ai dévoré comme le tome 1 ! On est transporté dans l’univers une fois de plus ! Vivement la suite !!!",Bom produit remplace un boitier externe,1
"Depuis des années j'utilise ces surligneurs qui ont un double avantage : d'abord, ils sont très fins, ensuite ils ne traversent pas -ou peu- même avec du papier très fin.","Après quelques semaines d'utilisation le couvercle du dessus c'est fêlé. Cela n'empêche pas le fonctionnement de l'appareil, mais çà en dit long sur la qualité des matériaux utilisés. Nous l'avons gardé, car à part ce défaut, il fonctionne très bien.",0
Produit de mauvaise qualité ne détruit rien ( vus le prix plus frais de port ça fait mal ) ne conseille pas.,Pas d'ampoule grillée dans le lot,0
"Le site n'est pas fiable. Cela fait 2 mois que j'ai passé ma commande et je n'ai toujours rien reçu, si vous n'êtes pas capable d'honorer les commandes Amazon devrait vérifier si le site est honnête. Je veux un remboursement.","Le service est joli, fonctionnel dommage qu'au déballage j'ai trouvé 2 assiettes à dessert cassées.",1
"Bonjour, sur le suivi il est dit que le colis a été livré en main propre depuis hier, hors je n’ai vue personne et n’ai rien reçu. Pas d’avis de passage, aucun voisin qui n’a reçu le colis, j’avais pourtant mis la bonne adresse de livraison lors du paiement ? Que puis je faire de plus ?? Cordialement","J'ai commandé la taille S pour ma fille qui rentre en CE1 en pensant qu'il lui serait adapté mais non car le format A4 ne rentre pas dedans et après contact auprès du vendeur il s'agit bien du modèle adapté pour la maternelle. Sinon jolies finitions, pratique, joli et il a l'air costaud !",0
"éclairage blanc et lumineux. Ampoules achetées en novembre, 2 mois plus tard elles ont grillé toutes les deux avec 24h d'écart. Lamentable... Je suis hors de moi. Plus jamais Osram, je retourne à Philips.",Conforme à la description. Les pieds adhésifs tiennent mal dans le temps. Modèle adapté à mon ordinateur.,0
"Manque une ouverture, pas fait attention à la commande.",ne fonctionne pas comme je voulais,1
Mes chats en sont ravis,Très bon puzzle par contre je dirais que sa correspond à un enfant de 8 ans et non de 6 ans mais le final et super beau,1
Cadeau pour Noël. Bien arrivé à la date prévue. Très bien emballé. Suis satisfaite,Ça laisse des traces au ventre c'est horrible,0
"J'ai acheté ces collants pour ma fille qui mesure 95 cm, porte du 4 ans et chausse du 27, c'est nickel.",Reçu rapidement et en bon état. Commandé pour la pluie pendant un festival mais beau temps donc pas utilisé. Je mesure 1.80m il m'arrive en dessous du genou et semble solide. Il ne prend pas de place plié dans sa pochette.,1
Pour laver la vaisselle très déçue car 6 sur 12 étaient cassés !,Qualité médiocre je n ai pas aimé,1
"Problème avec un des éléments, manque quelque centimètres, du coup il est bancale. J ai ajouter de la corde pour combler l espace.","je n'ai pas lu le livre, mais j'ai apprécié la série. A découvrir.",0
gecko très réaliste apposé sur le panneau arrière gauche de ma polo super déco.,"Fiches plaquées or protégées par des capuchons, le câble semble bien fini. Bon rapport qualité/prix",1
"Précis mais parfois lent à calculer les distances quand il ne bugue pas carrément, notamment dans les calculs de surfaces.","Le livre est jolie, il donne envie, mais j'avoue avoir été déçu par la simplification de l'histoire. Notre petite n'a pas spécialement croché non plus. Peut être que cette histoire n'a pas besoin d'être simplifiée? Aucun soucis sur le produit lui même, ni la livraison. ;)",1
2e roman de cette auteure que je lis... Un livre qui m'a vraiment émue... Je le recommande...,Bon matériel pour un prix contenu.,1
